System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
12:38:45:586, 70246739727727,    1.012,   19.000, 1300,   2.768,   2.801,   0.778,   1.307,   1.323,   0.367, 49,  0,   0.000,   0.000,   0.000,   0.038,   0.038,   0.011,  19.000,  40.000, 129.000,   0.000,   0.000,   24,   2.945
12:38:46:595, 70248249273123,    2.020,    6.000, 1300,   2.771,   5.594,   1.554,   1.277,   2.610,   0.725, 48,  0,   0.000,   0.000,   0.000,   0.110,   0.149,   0.041,  19.000,  40.000, 129.000,   0.000,   0.000,   38,   4.023
12:38:47:590, 70249740234246,    3.015,    4.000, 1300,   1.564,   7.152,   1.987,   0.518,   3.126,   0.868, 49,  0,   0.000,   0.000,   0.000,   0.033,   0.181,   0.050,  19.000,  40.000, 129.000,   0.000,   0.000,    6,   0.135
12:38:48:587, 70251232886857,    4.012,    5.000, 1300,   1.476,   8.623,   2.395,   0.551,   3.675,   1.021, 48,  0,   0.000,   0.000,   0.000,   0.012,   0.193,   0.054,  19.000,  40.000, 129.000,   0.000,   0.000,    7,   0.132
12:38:49:598, 70252747518154,    5.024,    5.000, 1400,   1.388,  10.027,   2.785,   0.427,   4.107,   1.141, 48,  0,   0.000,   0.000,   0.000,   0.027,   0.221,   0.061,  19.000,  40.000, 129.000,   0.000,   0.000,    5,   0.118
12:38:50:599, 70254246303072,    6.024,    3.000, 1300,   1.390,  11.418,   3.172,   0.415,   4.523,   1.256, 48,  0,   0.000,   0.000,   0.000,   0.010,   0.231,   0.064,  19.000,  40.000, 129.000,   0.000,   0.000,    6,   0.113
12:38:51:598, 70255742200978,    7.023,    3.000, 1300,   1.282,  12.699,   3.528,   0.366,   4.888,   1.358, 48,  0,   0.000,   0.000,   0.000,   0.039,   0.270,   0.075,  19.000,  40.000, 129.000,   0.000,   0.000,    7,   0.119
12:38:52:594, 70257233594262,    8.019,    3.000, 1300,   1.335,  14.029,   3.897,   0.510,   5.396,   1.499, 47,  0,   0.000,   0.000,   0.000,   0.013,   0.283,   0.079,  19.000,  40.000, 129.000,   0.000,   0.000,    5,   0.114
12:38:53:588, 70258722852921,    9.013,    3.000, 1300,   1.302,  15.323,   4.256,   0.417,   5.811,   1.614, 47,  0,   0.000,   0.000,   0.000,   0.010,   0.293,   0.081,  19.000,  40.000, 129.000,   0.000,   0.000,    5,   0.116
12:38:54:600, 70260238553923,   10.026,    8.000, 1400,   1.729,  17.073,   4.743,   0.645,   6.465,   1.796, 48,  0,   0.000,   0.000,   0.000,   0.017,   0.310,   0.086,  19.000,  40.000, 129.000,   0.000,   0.000,    7,   0.114
