System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
12:34:45:368, 69886988351864,    1.014,    7.000, 1300,   1.996,   2.025,   0.562,   0.842,   0.854,   0.237, 46,  0,   0.000,   0.000,   0.000,   0.046,   0.046,   0.013,  19.000,  40.000, 129.000,   0.000,   0.000,   22,   3.554
12:34:46:377, 69888498839020,    2.023,   13.000, 1300,   3.040,   5.091,   1.414,   1.449,   2.316,   0.643, 45,  0,   0.000,   0.000,   0.000,   0.073,   0.120,   0.033,  19.000,  40.000, 129.000,   0.000,   0.000,   35,   5.224
12:34:47:372, 69889989001523,    3.018,    2.000, 1300,   1.582,   6.665,   1.851,   0.664,   2.976,   0.827, 45,  0,   0.000,   0.000,   0.000,   0.006,   0.126,   0.035,  19.000,  40.000, 129.000,   0.000,   0.000,    3,   0.189
12:34:48:369, 69891481017773,    4.014,    3.000, 1300,   1.214,   7.874,   2.187,   0.449,   3.423,   0.951, 45,  0,   0.000,   0.000,   0.000,   0.000,   0.126,   0.035,  19.000,  40.000, 129.000,   0.000,   0.000,    3,   0.123
12:34:49:381, 69892996245484,    5.026,    2.000, 1300,   1.154,   9.042,   2.512,   0.422,   3.851,   1.070, 45,  0,   0.000,   0.000,   0.000,   0.000,   0.126,   0.035,  19.000,  40.000, 129.000,   0.000,   0.000,    3,   0.127
12:34:50:379, 69894491347395,    6.024,    2.000, 1300,   1.133,  10.172,   2.826,   0.376,   4.226,   1.174, 45,  0,   0.000,   0.000,   0.000,   0.004,   0.130,   0.036,  19.000,  40.000, 129.000,   0.000,   0.000,    3,   0.137
12:34:51:374, 69895981093809,    7.019,    2.000, 1300,   1.073,  11.239,   3.122,   0.345,   4.569,   1.269, 45,  0,   0.000,   0.000,   0.000,   0.000,   0.130,   0.036,  19.000,  40.000, 129.000,   0.000,   0.000,    3,   0.131
12:34:52:369, 69897471142982,    8.014,    3.000, 1300,   1.388,  12.620,   3.506,   0.438,   5.005,   1.390, 45,  0,   0.000,   0.000,   0.000,   0.009,   0.139,   0.039,  19.000,  40.000, 129.000,   0.000,   0.000,    3,   0.128
12:34:53:379, 69898984422641,    9.025,    2.000, 1300,   1.209,  13.842,   3.845,   0.403,   5.412,   1.503, 46,  0,   0.000,   0.000,   0.000,   0.000,   0.139,   0.039,  19.000,  40.000, 129.000,   0.000,   0.000,    2,   0.109
12:34:54:389, 69900497092286,   10.035,    2.000, 1300,   1.244,  15.098,   4.194,   0.408,   5.824,   1.618, 44,  0,   0.000,   0.000,   0.000,   0.005,   0.144,   0.040,  19.000,  40.000, 129.000,   0.000,   0.000,    3,   0.126
12:34:55:385, 69901987866702,   11.030,    2.000, 1300,   1.109,  16.202,   4.501,   0.348,   6.171,   1.714, 46,  0,   0.000,   0.000,   0.000,   0.010,   0.154,   0.043,  19.000,  40.000, 129.000,   0.000,   0.000,    3,   0.133
12:34:56:412, 69903526166289,   12.057,    2.000, 1300,   1.230,  17.466,   4.852,   0.389,   6.571,   1.825, 45,  0,   0.000,   0.000,   0.000,   0.009,   0.162,   0.045,  19.000,  40.000, 129.000,   0.000,   0.000,    3,   0.095
12:34:57:406, 69905015495456,   13.052,    2.000, 1300,   1.206,  18.665,   5.185,   0.386,   6.954,   1.932, 44,  0,   0.000,   0.000,   0.000,   0.003,   0.166,   0.046,  19.000,  40.000, 129.000,   0.000,   0.000,    3,   0.135
12:34:58:408, 69906515810477,   14.054,    2.000, 1300,   1.084,  19.751,   5.486,   0.329,   7.284,   2.023, 45,  0,   0.000,   0.000,   0.000,   0.021,   0.187,   0.052,  19.000,  40.000, 129.000,   0.000,   0.000,    3,   0.134
12:34:59:403, 69908006005488,   15.049,    2.000, 1300,   1.071,  20.817,   5.782,   0.331,   7.614,   2.115, 44,  0,   0.000,   0.000,   0.000,   0.003,   0.190,   0.053,  19.000,  40.000, 129.000,   0.000,   0.000,    3,   0.141
12:35:00:397, 69909494972886,   16.043,    4.000, 1300,   1.708,  22.515,   6.254,   0.640,   8.250,   2.292, 45,  0,   0.000,   0.000,   0.000,   0.000,   0.190,   0.053,  19.000,  40.000, 129.000,   0.000,   0.000,    5,   0.420
12:35:01:408, 69911008248729,   17.053,    3.000, 1300,   1.353,  23.882,   6.634,   0.528,   8.783,   2.440, 45,  0,   0.000,   0.000,   0.000,   0.009,   0.199,   0.055,  19.000,  40.000, 129.000,   0.000,   0.000,    6,   0.704
12:35:02:404, 69912500262747,   18.050,    2.000, 1300,   1.240,  25.117,   6.977,   0.371,   9.153,   2.542, 44,  0,   0.000,   0.000,   0.000,   0.001,   0.200,   0.056,  19.000,  40.000, 129.000,   0.000,   0.000,    3,   0.141
12:35:03:397, 69913987381529,   19.043,    2.000, 1400,   1.322,  26.430,   7.342,   0.450,   9.599,   2.666, 44,  0,   0.000,   0.000,   0.000,   0.000,   0.200,   0.056,  19.000,  40.000, 129.000,   0.000,   0.000,    3,   0.139
12:35:04:407, 69915500009751,   20.053,    3.000, 1300,   1.176,  27.617,   7.671,   0.409,  10.012,   2.781, 44,  0,   0.000,   0.000,   0.000,   0.000,   0.200,   0.056,  19.000,  40.000, 129.000,   0.000,   0.000,    5,   0.127
12:35:05:407, 69916998486065,   21.053,    2.000, 1300,   1.164,  28.782,   7.995,   0.349,  10.361,   2.878, 45,  0,   0.000,   0.000,   0.000,   0.004,   0.204,   0.057,  19.000,  40.000, 129.000,   0.000,   0.000,    3,   0.130
12:35:06:401, 69918486612840,   22.047,    2.000, 1300,   1.050,  29.826,   8.285,   0.330,  10.689,   2.969, 45,  0,   0.000,   0.000,   0.000,   0.000,   0.204,   0.057,  19.000,  40.000, 129.000,   0.000,   0.000,    3,   0.132
12:35:07:411, 69919999035561,   23.057,    2.000, 1300,   1.257,  31.096,   8.638,   0.418,  11.112,   3.087, 45,  0,   0.000,   0.000,   0.000,   0.000,   0.204,   0.057,  19.000,  40.000, 129.000,   0.000,   0.000,    3,   0.138
12:35:08:405, 69921487588436,   24.051,    2.000, 1300,   1.177,  32.266,   8.963,   0.446,  11.555,   3.210, 45,  0,   0.000,   0.000,   0.000,   0.000,   0.204,   0.057,  19.000,  40.000, 129.000,   0.000,   0.000,    3,   0.131
12:35:09:399, 69922976472498,   25.045,    2.000, 1300,   1.075,  33.335,   9.260,   0.339,  11.892,   3.303, 45,  0,   0.000,   0.000,   0.000,   0.001,   0.205,   0.057,  19.000,  40.000, 129.000,   0.000,   0.000,    3,   0.137
12:35:10:410, 69924490700696,   26.056,    4.000, 1300,   1.352,  34.702,   9.639,   0.533,  12.431,   3.453, 44,  0,   0.000,   0.000,   0.000,   0.015,   0.221,   0.061,  19.000,  40.000, 129.000,   0.000,   0.000,    3,   0.150
12:35:11:405, 69925980375017,   27.051,    2.000, 1300,   1.271,  35.966,   9.991,   0.367,  12.797,   3.555, 44,  0,   0.000,   0.000,   0.000,   0.006,   0.227,   0.063,  19.000,  40.000, 129.000,   0.000,   0.000,    3,   0.158
12:35:12:402, 69927473497345,   28.048,    9.000, 1300,   2.714,  38.672,  10.742,   1.431,  14.223,   3.951, 45,  0,   0.000,   0.000,   0.000,   0.030,   0.257,   0.071,  19.000,  40.000, 129.000,   0.000,   0.000,    4,   0.360
12:35:13:427, 69929008241388,   29.073,    4.000, 1300,   1.527,  40.237,  11.177,   0.627,  14.865,   4.129, 44,  0,   0.000,   0.000,   0.000,   0.000,   0.257,   0.071,  19.000,  40.000, 129.000,   0.000,   0.000,    3,   0.122
12:35:14:431, 69930512804368,   30.077,    2.000, 1300,   1.159,  41.402,  11.500,   0.346,  15.213,   4.226, 44,  0,   0.000,   0.000,   0.000,   0.027,   0.284,   0.079,  19.000,  40.000, 129.000,   0.000,   0.000,    3,   0.126
12:35:15:439, 69932022199549,   31.085,    2.000, 1300,   1.138,  42.548,  11.819,   0.391,  15.607,   4.335, 43,  0,   0.000,   0.000,   0.000,   0.000,   0.284,   0.079,  19.000,  40.000, 129.000,   0.000,   0.000,    3,   0.136
12:35:16:434, 69933512162455,   32.080,    2.000, 1300,   1.209,  43.751,  12.153,   0.381,  15.987,   4.441, 44,  0,   0.000,   0.000,   0.000,   0.000,   0.284,   0.079,  19.000,  40.000, 129.000,   0.000,   0.000,    3,   0.135
12:35:17:431, 69935004470884,   33.076,    2.000, 1300,   1.377,  45.123,  12.534,   0.525,  16.510,   4.586, 44,  0,   0.000,   0.000,   0.000,   0.000,   0.284,   0.079,  19.000,  40.000, 129.000,   0.000,   0.000,    3,   0.140
12:35:18:441, 69936518168330,   34.087,    2.000, 1300,   1.127,  46.262,  12.850,   0.388,  16.902,   4.695, 44,  0,   0.000,   0.000,   0.000,   0.000,   0.284,   0.079,  19.000,  40.000, 129.000,   0.000,   0.000,    3,   0.126
12:35:19:449, 69938027121060,   35.095,    2.000, 1300,   1.067,  47.337,  13.149,   0.272,  17.176,   4.771, 44,  0,   0.000,   0.000,   0.000,   0.000,   0.284,   0.079,  19.000,  40.000, 129.000,   0.000,   0.000,    3,   0.118
12:35:20:449, 69939524877439,   36.095,    3.000, 1300,   1.333,  48.670,  13.519,   0.507,  17.682,   4.912, 45,  0,   0.000,   0.000,   0.000,   0.000,   0.284,   0.079,  19.000,  40.000, 129.000,   0.000,   0.000,    3,   0.134
