System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
12:36:49:409, 70072752050630,    1.026,   14.000, 1300,   3.437,   3.525,   0.979,   1.694,   1.738,   0.483, 45,  0,   0.000,   0.000,   0.000,   0.116,   0.119,   0.033,  19.000,  40.000, 129.000,   0.000,   0.000,   28,   4.580
12:36:50:412, 70074253476246,    2.028,   26.000, 1300,   4.563,   8.100,   2.250,   2.154,   3.898,   1.083, 46,  0,   0.000,   0.000,   0.000,   0.471,   0.591,   0.164,  19.000,  40.000, 129.000,   0.000,   0.000,  112,  30.159
12:36:51:407, 70075743711307,    3.023,   31.000, 1300,   5.120,  13.195,   3.665,   2.816,   6.700,   1.861, 45,  0,   0.000,   0.000,   0.000,   0.225,   0.815,   0.226,  19.000,  40.000, 129.000,   0.000,   0.000,  105,  50.584
12:36:52:407, 70077240988784,    4.023,   22.000, 1300,   4.630,  17.824,   4.951,   1.916,   8.615,   2.393, 46,  0,   0.000,   0.000,   0.000,   0.611,   1.426,   0.396,  19.000,  40.000, 129.000,   0.000,   0.000,  125,  38.925
12:36:53:409, 70078742379862,    5.026,   22.000, 1200,   5.070,  22.907,   6.363,   2.213,  10.833,   3.009, 46,  0,   0.000,   0.000,   0.000,   0.794,   2.222,   0.617,  19.000,  40.000, 129.000,   0.000,   0.000,  182,  36.085
12:36:54:410, 70080240983753,    6.026,   12.000, 1300,   3.758,  26.668,   7.408,   1.644,  12.479,   3.466, 47,  0,   0.000,   0.000,   0.000,   0.388,   2.610,   0.725,  19.000,  40.000, 129.000,   0.000,   0.000,  120,  21.184
12:36:55:407, 70081733833966,    7.023,   12.000, 1300,   3.223,  29.880,   8.300,   1.400,  13.874,   3.854, 45,  0,   0.000,   0.000,   0.000,   0.206,   2.815,   0.782,  19.000,  40.000, 129.000,   0.000,   0.000,   99,  19.232
12:36:56:407, 70083231550778,    8.023,   11.000, 1300,   3.395,  33.276,   9.243,   1.331,  15.206,   4.224, 45,  0,   0.000,   0.000,   0.000,   0.365,   3.180,   0.883,  19.000,  40.000, 129.000,   0.000,   0.000,  103,  22.186
12:36:57:405, 70084725578531,    9.021,   11.000, 1300,   3.550,  36.817,  10.227,   1.453,  16.655,   4.626, 46,  0,   0.000,   0.000,   0.000,   0.389,   3.568,   0.991,  19.000,  40.000, 129.000,   0.000,   0.000,  100,  20.558
12:36:58:403, 70086221330326,   10.020,   12.000, 1300,   3.315,  40.128,  11.147,   1.402,  18.055,   5.015, 46,  0,   0.000,   0.000,   0.000,   0.178,   3.746,   1.041,  19.000,  40.000, 129.000,   0.000,   0.000,  100,  21.181
