System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
12:41:08:349, 70460541330243,    1.012,    4.000, 1300,   2.740,   2.774,   0.770,   0.532,   0.539,   0.150, 55,  0,   0.000,   0.000,   0.000,   0.020,   0.020,   0.005,  19.000,  40.000, 129.000,   0.000,   0.000,    7,   0.301
12:41:09:345, 70462033218392,    2.008,    3.000, 1300,   2.614,   5.378,   1.494,   0.540,   1.077,   0.299, 54,  0,   0.000,   0.000,   0.000,   0.013,   0.033,   0.009,  19.000,  40.000, 129.000,   0.000,   0.000,    5,   0.109
12:41:10:341, 70463524854901,    3.004,    3.000, 1300,   2.609,   7.976,   2.216,   0.533,   1.608,   0.447, 54,  0,   0.000,   0.000,   0.000,   0.002,   0.035,   0.010,  19.000,  40.000, 129.000,   0.000,   0.000,   10,   0.129
12:41:11:342, 70465023618719,    4.005,    4.000, 1300,   3.000,  10.979,   3.050,   0.804,   2.412,   0.670, 53,  0,   0.000,   0.000,   0.000,   0.012,   0.047,   0.013,  19.000,  40.000, 129.000,   0.000,   0.000,    5,   0.118
12:41:12:342, 70466520464524,    5.005,    3.000, 1300,   2.620,  13.598,   3.777,   0.554,   2.966,   0.824, 53,  0,   0.000,   0.000,   0.000,   0.000,   0.047,   0.013,  19.000,  40.000, 129.000,   0.000,   0.000,    5,   0.109
12:41:13:338, 70468012850313,    6.001,    3.000, 1300,   2.750,  16.338,   4.538,   0.674,   3.638,   1.010, 54,  0,   0.000,   0.000,   0.000,   0.000,   0.047,   0.013,  19.000,  40.000, 129.000,   0.000,   0.000,    4,   0.126
12:41:14:350, 70469527653065,    7.013,    2.000, 1300,   2.530,  18.896,   5.249,   0.500,   4.143,   1.151, 54,  0,   0.000,   0.000,   0.000,   0.000,   0.047,   0.013,  19.000,  40.000, 129.000,   0.000,   0.000,    5,   0.110
12:41:15:361, 70471042840308,    8.024,    2.000, 1300,   2.464,  21.389,   5.941,   0.420,   4.569,   1.269, 54,  0,   0.000,   0.000,   0.000,   0.009,   0.056,   0.016,  19.000,  40.000, 129.000,   0.000,   0.000,    5,   0.134
12:41:16:359, 70472536123550,    9.022,    2.000, 1300,   2.415,  23.797,   6.610,   0.385,   4.953,   1.376, 52,  0,   0.000,   0.000,   0.000,   0.007,   0.063,   0.017,  19.000,  40.000, 129.000,   0.000,   0.000,    4,   0.116
12:41:17:356, 70474029724115,   10.019,   17.000, 1300,   6.334,  30.115,   8.365,   3.573,   8.516,   2.365, 55,  0,   0.000,   0.000,   0.000,   0.008,   0.071,   0.020,  19.000,  40.000, 129.000,   0.000,   0.000,    6,   0.115
12:41:18:352, 70475521342245,   11.015,   18.000, 1300,   4.525,  34.621,   9.617,   1.857,  10.366,   2.879, 53,  0,   0.000,   0.000,   0.000,   0.009,   0.079,   0.022,  19.000,  40.000, 129.000,   0.000,   0.000,    3,   0.132
12:41:19:365, 70477038240180,   12.028,    3.000, 1300,   2.507,  37.160,  10.322,   0.454,  10.825,   3.007, 53,  0,   0.000,   0.000,   0.000,   0.000,   0.079,   0.022,  19.000,  40.000, 129.000,   0.000,   0.000,    3,   0.143
12:41:20:362, 70478532376206,   13.025,    2.000, 1300,   2.453,  39.608,  11.002,   0.397,  11.221,   3.117, 53,  0,   0.000,   0.000,   0.000,   0.023,   0.102,   0.028,  19.000,  40.000, 129.000,   0.000,   0.000,    3,   0.166
12:41:21:360, 70480026577865,   14.023,    3.000, 1200,   2.635,  42.237,  11.732,   0.535,  11.755,   3.265, 52,  0,   0.000,   0.000,   0.000,   0.000,   0.102,   0.028,  19.000,  40.000, 129.000,   0.000,   0.000,    3,   0.158
12:41:22:359, 70481522276004,   15.022,    2.000, 1300,   2.493,  44.727,  12.424,   0.462,  12.217,   3.394, 53,  0,   0.000,   0.000,   0.000,   0.000,   0.102,   0.028,  19.000,  40.000, 129.000,   0.000,   0.000,    3,   0.140
12:41:23:359, 70483020001334,   16.022,    3.000, 1300,   2.234,  46.961,  13.045,   0.457,  12.674,   3.521, 52,  0,   0.000,   0.000,   0.000,   0.008,   0.110,   0.031,  19.000,  40.000, 129.000,   0.000,   0.000,    3,   0.174
12:41:24:353, 70484508226371,   17.016,    2.000, 1300,   2.244,  49.191,  13.664,   0.415,  13.086,   3.635, 52,  0,   0.000,   0.000,   0.000,   0.000,   0.110,   0.031,  19.000,  40.000, 129.000,   0.000,   0.000,    3,   0.147
12:41:25:363, 70486021994657,   18.026,    2.000, 1300,   2.461,  51.678,  14.355,   0.436,  13.527,   3.757, 52,  0,   0.000,   0.000,   0.000,   0.006,   0.117,   0.032,  19.000,  40.000, 129.000,   0.000,   0.000,    3,   0.143
