System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
12:42:58:911, 70626118888712,    1.050,   23.000, 1200,   3.996,   4.196,   1.165,   1.770,   1.858,   0.516, 53,  0,   0.000,   0.000,   0.000,   0.315,   0.330,   0.092,  19.000,  40.000, 129.000,   0.000,   0.000,   63,   7.373
12:42:59:905, 70627608241382,    2.045,   16.000, 1300,   4.684,   8.854,   2.459,   1.849,   3.697,   1.027, 52,  0,   0.000,   0.000,   0.000,   0.155,   0.484,   0.134,  19.000,  40.000, 129.000,   0.000,   0.000,  100,  13.565
12:43:00:912, 70629115077436,    3.051,   28.000, 1300,   5.562,  14.450,   4.014,   2.561,   6.274,   1.743, 52,  0,   0.000,   0.000,   0.000,   0.088,   0.572,   0.159,  19.000,  40.000, 129.000,   0.000,   0.000,   55,   6.848
12:43:01:909, 70630609263391,    4.048,   14.000, 1200,   5.488,  19.926,   5.535,   1.865,   8.135,   2.260, 52,  0,   0.000,   0.000,   0.000,   0.746,   1.317,   0.366,  19.000,  40.000, 129.000,   0.000,   0.000,  181,  39.379
12:43:02:903, 70632097093075,    5.042,   18.000, 1300,   4.635,  24.530,   6.814,   1.737,   9.860,   2.739, 52,  0,   0.000,   0.000,   0.000,   0.172,   1.488,   0.413,  19.000,  40.000, 129.000,   0.000,   0.000,  108,  17.568
12:43:03:922, 70633623766160,    6.061,   17.000, 1300,   4.990,  29.617,   8.227,   1.998,  11.897,   3.305, 52,  0,   0.000,   0.000,   0.000,   0.221,   1.713,   0.476,  19.000,  40.000, 129.000,   0.000,   0.000,  103,  19.884
12:43:04:924, 70635124196230,    7.063,   11.000, 1200,   4.486,  34.111,   9.475,   1.364,  13.263,   3.684, 53,  0,   0.000,   0.000,   0.000,   0.458,   2.172,   0.603,  19.000,  40.000, 129.000,   0.000,   0.000,  103,  17.518
12:43:05:919, 70636614630635,    8.058,   16.000, 1300,   4.487,  38.577,  10.716,   1.377,  14.634,   4.065, 52,  0,   0.000,   0.000,   0.000,   0.411,   2.582,   0.717,  19.000,  40.000, 129.000,   0.000,   0.000,  104,  22.264
12:43:06:922, 70638117165868,    9.062,   13.000, 1300,   4.169,  42.759,  11.878,   1.350,  15.988,   4.441, 52,  0,   0.000,   0.000,   0.000,   0.367,   2.950,   0.819,  19.000,  40.000, 129.000,   0.000,   0.000,  104,  22.061
12:43:07:919, 70639609464116,   10.058,   14.000, 1300,   4.478,  47.221,  13.117,   1.454,  17.437,   4.844, 52,  0,   0.000,   0.000,   0.000,   0.357,   3.305,   0.918,  19.000,  40.000, 129.000,   0.000,   0.000,  104,  22.435
12:43:08:923, 70641113518796,   11.062,   14.000, 1300,   4.085,  51.324,  14.257,   1.413,  18.856,   5.238, 52,  0,   0.000,   0.000,   0.000,   0.277,   3.584,   0.995,  19.000,  40.000, 129.000,   0.000,   0.000,  102,  21.872
12:43:09:919, 70642604310008,   12.058,   13.000, 1300,   3.455,  54.763,  15.212,   1.395,  20.245,   5.624, 52,  0,   0.000,   0.000,   0.000,   0.391,   3.973,   1.104,  19.000,  40.000, 129.000,   0.000,   0.000,  103,  22.117
