Date,CPU Utilization,Total Power,CPU Power,GPU Power
2024-01-11 00:25:47,0.01001,2.05859,2.05859,0.00000
2024-01-11 00:25:48,0.00835,1.96289,1.96289,0.00000
2024-01-11 00:25:49,0.00502,1.81152,1.81152,0.00000
2024-01-11 00:25:50,0.00585,1.88086,1.88086,0.00000
2024-01-11 00:25:51,0.00669,2.39551,2.39551,0.00000
2024-01-11 00:25:52,0.00503,2.15430,2.15430,0.00000
2024-01-11 00:25:53,0.00834,1.94922,1.94922,0.00000
2024-01-11 00:25:54,0.00668,2.20801,2.20801,0.00000
2024-01-11 00:25:55,0.01167,2.01660,2.01660,0.00000
2024-01-11 00:25:56,0.00502,2.70898,2.70898,0.00000
2024-01-11 00:25:57,0.00751,2.61621,2.61621,0.00000
2024-01-11 00:25:58,0.00503,2.34668,2.34668,0.00000
2024-01-11 00:25:59,0.01832,3.11035,3.11035,0.00000
2024-01-11 00:26:00,0.00585,2.42773,2.42773,0.00000
2024-01-11 00:26:01,0.00502,2.22852,2.22852,0.00000
2024-01-11 00:26:02,0.01501,3.26758,3.26758,0.00000
2024-01-11 00:26:03,0.01995,3.09082,3.09082,0.00000
2024-01-11 00:26:04,0.00418,2.23145,2.23145,0.00000
2024-01-11 00:26:05,0.00669,2.75000,2.75000,0.00000
2024-01-11 00:26:06,0.00751,2.70020,2.70020,0.00000
2024-01-11 00:26:07,0.00668,2.56250,2.56250,0.00000
2024-01-11 00:26:08,0.00668,2.60840,2.60840,0.00000
2024-01-11 00:26:09,0.00668,2.28223,2.28223,0.00000
2024-01-11 00:26:10,0.00585,2.21484,2.21484,0.00000
2024-01-11 00:26:11,0.00502,2.31836,2.31836,0.00000
2024-01-11 00:26:12,0.00918,3.03906,3.03906,0.00000
2024-01-11 00:26:13,0.00502,2.22852,2.22852,0.00000
2024-01-11 00:26:14,0.00668,2.29004,2.29004,0.00000
2024-01-11 00:26:15,0.00585,2.31445,2.31445,0.00000
2024-01-11 00:26:16,0.00668,2.20801,2.20801,0.00000
2024-01-11 00:26:17,0.00586,2.69727,2.69727,0.00000
2024-01-11 00:26:18,0.01330,2.49023,2.49023,0.00000
2024-01-11 00:26:19,0.00917,2.28711,2.28711,0.00000
2024-01-11 00:26:20,0.00585,2.32031,2.32031,0.00000
2024-01-11 00:26:21,0.00833,2.41504,2.41504,0.00000
2024-01-11 00:26:22,0.00669,2.72070,2.72070,0.00000
2024-01-11 00:26:23,0.00668,2.31348,2.31348,0.00000
2024-01-11 00:26:24,0.00585,2.27051,2.27051,0.00000
2024-01-11 00:26:25,0.00502,2.23438,2.23438,0.00000
2024-01-11 00:26:26,0.00585,2.27539,2.27539,0.00000
2024-01-11 00:26:27,0.00503,3.03223,3.03223,0.00000
2024-01-11 00:26:28,0.00751,2.54199,2.54199,0.00000
2024-01-11 00:26:29,0.00669,3.08301,3.08301,0.00000
2024-01-11 00:26:30,0.00838,2.87695,2.87695,0.00000
2024-01-11 00:26:31,0.00833,2.23340,2.23340,0.00000
2024-01-11 00:26:32,0.00585,2.34277,2.34277,0.00000
2024-01-11 00:26:33,0.00668,2.71777,2.71777,0.00000
2024-01-11 00:26:34,0.00335,2.20605,2.20605,0.00000
2024-01-11 00:26:35,0.00751,2.68848,2.68848,0.00000
2024-01-11 00:26:36,0.00586,2.63574,2.63574,0.00000
2024-01-11 00:26:37,0.00668,2.21387,2.21387,0.00000
2024-01-11 00:26:38,0.00335,2.13184,2.13184,0.00000
2024-01-11 00:26:39,0.00668,2.13867,2.13867,0.00000
2024-01-11 00:26:40,0.00585,2.10156,2.10156,0.00000
2024-01-11 00:26:41,0.00501,2.83691,2.83691,0.00000
2024-01-11 00:26:42,0.00751,2.43262,2.43262,0.00000
2024-01-11 00:26:43,0.00335,2.13672,2.13672,0.00000
2024-01-11 00:26:44,0.00835,2.65723,2.65723,0.00000
2024-01-11 00:26:45,0.00418,2.09961,2.09961,0.00000
2024-01-11 00:26:46,0.00669,2.61328,2.61328,0.00000
2024-01-11 00:26:47,0.00751,2.15723,2.15723,0.00000
2024-01-11 00:26:48,0.00335,2.47754,2.47754,0.00000
2024-01-11 00:26:49,0.00502,2.42773,2.42773,0.00000
2024-01-11 00:26:50,0.01003,3.14160,3.14160,0.00000
2024-01-11 00:26:51,0.00751,2.17090,2.17090,0.00000
2024-01-11 00:26:52,0.00585,2.41113,2.41113,0.00000
2024-01-11 00:26:53,0.00584,2.72559,2.72559,0.00000
2024-01-11 00:26:54,0.00668,2.46582,2.46582,0.00000
2024-01-11 00:26:55,0.00585,2.51465,2.51465,0.00000
2024-01-11 00:26:56,0.00668,2.11230,2.11230,0.00000
2024-01-11 00:26:57,0.00418,2.11523,2.11523,0.00000
2024-01-11 00:26:58,0.00751,2.13477,2.13477,0.00000
2024-01-11 00:26:59,0.01171,3.03809,3.03809,0.00000
2024-01-11 00:27:00,0.00668,2.53027,2.53027,0.00000
2024-01-11 00:27:01,0.00502,2.12891,2.12891,0.00000
2024-01-11 00:27:02,0.00501,2.12402,2.12402,0.00000
2024-01-11 00:27:03,0.01590,4.19531,4.19531,0.00000
2024-01-11 00:27:04,0.00751,2.16309,2.16309,0.00000
2024-01-11 00:27:05,0.00335,2.43750,2.43750,0.00000
2024-01-11 00:27:06,0.00668,2.43945,2.43945,0.00000
2024-01-11 00:27:07,0.00502,2.13672,2.13672,0.00000
2024-01-11 00:27:08,0.00421,2.66504,2.66504,0.00000
2024-01-11 00:27:09,0.00917,2.90332,2.90332,0.00000
2024-01-11 00:27:10,0.00501,2.10254,2.10254,0.00000
2024-01-11 00:27:11,0.00585,2.57129,2.57129,0.00000
2024-01-11 00:27:12,0.00585,2.44824,2.44824,0.00000
2024-01-11 00:27:13,0.00585,2.49902,2.49902,0.00000
2024-01-11 00:27:14,0.00585,2.46875,2.46875,0.00000
2024-01-11 00:27:15,0.00751,2.19043,2.19043,0.00000
2024-01-11 00:27:16,0.00667,2.12012,2.12012,0.00000
2024-01-11 00:27:17,0.00585,2.62305,2.62305,0.00000
2024-01-11 00:27:18,0.00502,2.43848,2.43848,0.00000
2024-01-11 00:27:19,0.03443,2.73438,2.73438,0.00000
2024-01-11 00:27:20,0.01983,2.33301,2.33301,0.00000
2024-01-11 00:27:21,0.00502,2.12500,2.12500,0.00000
