Date,CPU Utilization,Total Power,CPU Power,GPU Power
2024-01-11 00:24:01,0.11009,9.39453,9.39453,0.00000
2024-01-11 00:24:02,0.18366,11.28418,11.28418,0.00000
2024-01-11 00:24:03,0.16653,9.28418,9.28418,0.00000
2024-01-11 00:24:04,0.16919,9.67969,9.67969,0.00000
2024-01-11 00:24:05,0.17045,9.29785,9.29785,0.00000
2024-01-11 00:24:06,0.15144,9.24512,9.24512,0.00000
2024-01-11 00:24:07,0.19224,9.34473,9.34473,0.00000
2024-01-11 00:24:08,0.18506,9.29395,9.29395,0.00000
2024-01-11 00:24:09,0.15593,9.00293,9.00293,0.00000
2024-01-11 00:24:10,0.15838,9.38379,9.38379,0.00000
2024-01-11 00:24:11,0.16497,8.85449,8.85449,0.00000
2024-01-11 00:24:12,0.14564,8.53418,8.53418,0.00000
2024-01-11 00:24:13,0.15807,8.68945,8.68945,0.00000
2024-01-11 00:24:14,0.14771,8.85059,8.85059,0.00000
2024-01-11 00:24:15,0.14780,9.10059,9.10059,0.00000
2024-01-11 00:24:16,0.14865,8.70996,8.70996,0.00000
2024-01-11 00:24:17,0.16289,8.91504,8.91504,0.00000
2024-01-11 00:24:18,0.14765,8.60840,8.60840,0.00000
2024-01-11 00:24:19,0.14721,8.52539,8.52539,0.00000
2024-01-11 00:24:20,0.15042,8.49316,8.49316,0.00000
2024-01-11 00:24:21,0.15411,9.27637,9.27637,0.00000
2024-01-11 00:24:22,0.14587,8.51465,8.51465,0.00000
2024-01-11 00:24:23,0.14503,8.60059,8.60059,0.00000
2024-01-11 00:24:24,0.15657,8.71875,8.71875,0.00000
2024-01-11 00:24:25,0.14971,8.52637,8.52637,0.00000
2024-01-11 00:24:26,0.14721,8.60547,8.60547,0.00000
2024-01-11 00:24:27,0.14069,8.64746,8.64746,0.00000
2024-01-11 00:24:28,0.14753,8.57031,8.57031,0.00000
2024-01-11 00:24:29,0.15617,8.65918,8.65918,0.00000
2024-01-11 00:24:30,0.14527,8.61426,8.61426,0.00000
2024-01-11 00:24:31,0.14548,8.52148,8.52148,0.00000
2024-01-11 00:24:32,0.14044,8.90332,8.90332,0.00000
2024-01-11 00:24:33,0.16230,8.95898,8.95898,0.00000
2024-01-11 00:24:34,0.15798,8.57520,8.57520,0.00000
2024-01-11 00:24:35,0.15922,8.77441,8.77441,0.00000
2024-01-11 00:24:36,0.15856,8.65430,8.65430,0.00000
2024-01-11 00:24:37,0.16807,8.83789,8.83789,0.00000
2024-01-11 00:24:38,0.14213,8.81934,8.81934,0.00000
2024-01-11 00:24:39,0.14706,8.60645,8.60645,0.00000
2024-01-11 00:24:40,0.14032,8.51367,8.51367,0.00000
2024-01-11 00:24:41,0.16241,8.85742,8.85742,0.00000
2024-01-11 00:24:42,0.15662,8.73242,8.73242,0.00000
2024-01-11 00:24:43,0.16134,9.25391,9.25391,0.00000
2024-01-11 00:24:44,0.16848,9.17188,9.17188,0.00000
2024-01-11 00:24:45,0.17160,8.96777,8.96777,0.00000
2024-01-11 00:24:46,0.15286,8.76270,8.76270,0.00000
2024-01-11 00:24:47,0.16778,8.57715,8.57715,0.00000
2024-01-11 00:24:48,0.16186,8.63770,8.63770,0.00000
2024-01-11 00:24:49,0.16751,9.30273,9.30273,0.00000
2024-01-11 00:24:50,0.14671,8.57715,8.57715,0.00000
2024-01-11 00:24:51,0.15339,8.45410,8.45410,0.00000
2024-01-11 00:24:52,0.15080,8.52344,8.52344,0.00000
2024-01-11 00:24:53,0.15475,8.55957,8.55957,0.00000
2024-01-11 00:24:54,0.15339,8.84570,8.84570,0.00000
2024-01-11 00:24:55,0.15288,8.54688,8.54688,0.00000
2024-01-11 00:24:56,0.16736,8.84766,8.84766,0.00000
2024-01-11 00:24:57,0.16653,8.93750,8.93750,0.00000
2024-01-11 00:24:58,0.15541,8.69434,8.69434,0.00000
2024-01-11 00:24:59,0.15378,8.81445,8.81445,0.00000
2024-01-11 00:25:00,0.15617,8.93457,8.93457,0.00000
2024-01-11 00:25:01,0.15352,8.82129,8.82129,0.00000
2024-01-11 00:25:02,0.13998,8.36523,8.36523,0.00000
2024-01-11 00:25:03,0.13744,8.49609,8.49609,0.00000
2024-01-11 00:25:04,0.14777,8.81055,8.81055,0.00000
2024-01-11 00:25:05,0.16007,8.94336,8.94336,0.00000
2024-01-11 00:25:06,0.15197,8.62207,8.62207,0.00000
2024-01-11 00:25:07,0.15909,8.56738,8.56738,0.00000
2024-01-11 00:25:08,0.15443,8.80176,8.80176,0.00000
2024-01-11 00:25:09,0.16031,9.01074,9.01074,0.00000
2024-01-11 00:25:10,0.15046,8.92773,8.92773,0.00000
2024-01-11 00:25:11,0.14840,8.89355,8.89355,0.00000
2024-01-11 00:25:12,0.14370,8.54004,8.54004,0.00000
2024-01-11 00:25:13,0.13633,8.65234,8.65234,0.00000
2024-01-11 00:25:14,0.14790,8.33789,8.33789,0.00000
2024-01-11 00:25:15,0.15759,8.74805,8.74805,0.00000
2024-01-11 00:25:16,0.17475,9.45117,9.45117,0.00000
2024-01-11 00:25:17,0.19565,9.97461,9.97461,0.00000
2024-01-11 00:25:18,0.18776,9.03125,9.03125,0.00000
2024-01-11 00:25:19,0.16639,9.04883,9.04883,0.00000
2024-01-11 00:25:20,0.18227,8.86426,8.86426,0.00000
2024-01-11 00:25:21,0.16695,9.21094,9.21094,0.00000
2024-01-11 00:25:22,0.14624,8.70605,8.70605,0.00000
2024-01-11 00:25:23,0.13744,8.39160,8.39160,0.00000
2024-01-11 00:25:24,0.13640,8.26660,8.26660,0.00000
2024-01-11 00:25:25,0.12963,8.34668,8.34668,0.00000
2024-01-11 00:25:26,0.12331,8.15625,8.15625,0.00000
2024-01-11 00:25:27,0.14032,8.78418,8.78418,0.00000
2024-01-11 00:25:28,0.15463,8.74609,8.74609,0.00000
2024-01-11 00:25:29,0.13602,8.29199,8.29199,0.00000
2024-01-11 00:25:30,0.14597,8.63965,8.63965,0.00000
2024-01-11 00:25:31,0.17970,8.76660,8.76660,0.00000
2024-01-11 00:25:32,0.10820,10.19238,10.19238,0.00000
2024-01-11 00:25:33,0.02085,2.97461,2.97461,0.00000
2024-01-11 00:25:34,0.01667,2.84863,2.84863,0.00000
2024-01-11 00:25:35,0.02605,4.93262,4.93262,0.00000
2024-01-11 00:25:36,0.01340,3.38672,3.38672,0.00000
2024-01-11 00:25:37,0.01417,3.05859,3.05859,0.00000
2024-01-11 00:25:38,0.01253,3.45020,3.45020,0.00000
2024-01-11 00:25:39,0.01168,2.38184,2.38184,0.00000
2024-01-11 00:25:40,0.03651,4.12988,4.12988,0.00000
2024-01-11 00:25:41,0.09038,17.37305,17.37305,0.00000
