Date,CPU Utilization,Total Power,CPU Power,GPU Power
2024-01-11 00:13:35,0.00835,1.92480,1.92480,0.00000
2024-01-11 00:13:36,0.00587,2.43066,2.43066,0.00000
2024-01-11 00:13:37,0.00836,2.32324,2.32324,0.00000
2024-01-11 00:13:38,0.00585,2.32910,2.32910,0.00000
2024-01-11 00:13:39,0.00585,2.34570,2.34570,0.00000
2024-01-11 00:13:40,0.00503,3.23047,3.23047,0.00000
2024-01-11 00:13:41,0.00585,2.40625,2.40625,0.00000
2024-01-11 00:13:42,0.00585,2.36523,2.36523,0.00000
2024-01-11 00:13:43,0.00502,2.28711,2.28711,0.00000
2024-01-11 00:13:44,0.00752,2.45410,2.45410,0.00000
2024-01-11 00:13:45,0.00668,2.98047,2.98047,0.00000
2024-01-11 00:13:46,0.00502,2.28027,2.28027,0.00000
2024-01-11 00:13:47,0.00668,2.34473,2.34473,0.00000
2024-01-11 00:13:48,0.00502,2.34570,2.34570,0.00000
2024-01-11 00:13:49,0.00503,2.78320,2.78320,0.00000
2024-01-11 00:13:50,0.00751,2.65625,2.65625,0.00000
2024-01-11 00:13:51,0.00585,2.64258,2.64258,0.00000
2024-01-11 00:13:52,0.00585,2.22559,2.22559,0.00000
2024-01-11 00:13:53,0.00419,2.32813,2.32813,0.00000
2024-01-11 00:13:54,0.00668,2.33301,2.33301,0.00000
2024-01-11 00:13:55,0.00585,2.24512,2.24512,0.00000
2024-01-11 00:13:56,0.00751,2.77539,2.77539,0.00000
2024-01-11 00:13:57,0.00752,2.66016,2.66016,0.00000
2024-01-11 00:13:58,0.00502,2.25195,2.25195,0.00000
2024-01-11 00:13:59,0.00751,2.35547,2.35547,0.00000
2024-01-11 00:14:00,0.00503,2.41602,2.41602,0.00000
2024-01-11 00:14:01,0.00585,2.24219,2.24219,0.00000
2024-01-11 00:14:02,0.00585,2.37305,2.37305,0.00000
2024-01-11 00:14:03,0.00669,2.74609,2.74609,0.00000
2024-01-11 00:14:04,0.00585,2.27539,2.27539,0.00000
2024-01-11 00:14:05,0.00585,2.30859,2.30859,0.00000
2024-01-11 00:14:06,0.00752,2.34863,2.34863,0.00000
2024-01-11 00:14:07,0.00502,2.28516,2.28516,0.00000
2024-01-11 00:14:08,0.00502,2.37012,2.37012,0.00000
2024-01-11 00:14:09,0.00753,3.06445,3.06445,0.00000
2024-01-11 00:14:10,0.00834,2.34570,2.34570,0.00000
2024-01-11 00:14:11,0.00669,2.71094,2.71094,0.00000
2024-01-11 00:14:12,0.00668,2.31348,2.31348,0.00000
2024-01-11 00:14:13,0.00668,2.24121,2.24121,0.00000
2024-01-11 00:14:14,0.00585,2.70996,2.70996,0.00000
2024-01-11 00:14:15,0.00669,2.64258,2.64258,0.00000
2024-01-11 00:14:16,0.00668,2.27930,2.27930,0.00000
