PowerSpy - ALCIOM - Exported raw data file

Current : 10/01/24 15:34:34,855

Sample #,Voltage (V),Current(A)
    0, 7.499, 0.03908
    1, 16.572, 0.03695
    2, 25.485, 0.03633
    3, 34.260, 0.03734
    4, 42.833, 0.03824
    5, 51.085, 0.03714
    6, 58.939, 0.03374
    7, 66.390, 0.02974
    8, 73.482, 0.02739
    9, 80.261, 0.02735
   10, 86.792, 0.02836
   11, 93.182, 0.02880
   12, 99.560, 0.02827
   13, 106.014, 0.02771
   14, 112.535, 0.02801
   15, 119.047, 0.02864
   16, 125.496, 0.02857
   17, 131.884, 0.02764
   18, 138.243, 0.02694
   19, 144.587, 0.02752
   20, 150.893, 0.02888
   21, 157.138, 0.02939
   22, 163.351, 0.02820
   23, 169.588, 0.02633
   24, 175.897, 0.02558
   25, 182.268, 0.02645
   26, 188.655, 0.02769
   27, 195.026, 0.02785
   28, 201.375, 0.02693
   29, 207.714, 0.02638
   30, 214.030, 0.02701
   31, 220.293, 0.02808
   32, 226.493, 0.02822
   33, 232.676, 0.02720
   34, 238.919, 0.02636
   35, 245.257, 0.02672
   36, 251.620, 0.02776
   37, 257.877, 0.02798
   38, 263.933, 0.02690
   39, 269.801, 0.02557
   40, 275.574, 0.02521
   41, 281.290, 0.02550
   42, 286.847, 0.02498
   43, 292.017, 0.02269
   44, 296.561, 0.01921
   45, 300.338, 0.01604
   46, 303.340, 0.01385
   47, 305.668, 0.01229
   48, 307.489, 0.01064
   49, 308.993, 0.00888
   50, 310.355, 0.00747
   51, 311.683, 0.00670
   52, 313.010, 0.00642
   53, 314.314, 0.00626
   54, 315.548, 0.00584
   55, 316.653, 0.00503
   56, 317.581, 0.00392
   57, 318.313, 0.00293
   58, 318.882, 0.00247
   59, 319.341, 0.00241
   60, 319.708, 0.00217
   61, 319.943, 0.00126
   62, 319.977, 0.00000
   63, 319.787, -0.00078
   64, 319.423, -0.00074
   65, 318.974, -0.00046
   66, 318.511, -0.00056
   67, 318.057, -0.00009
   68, 317.606, 0.00409
   69, 317.143, 0.01590
   70, 316.660, 0.03710
   71, 316.170, 0.06488
   72, 315.686, 0.09266
   73, 315.204, 0.11390
   74, 314.702, 0.12578
   75, 314.157, 0.12996
   76, 313.595, 0.12865
   77, 313.065, 0.12087
   78, 312.569, 0.10330
   79, 311.992, 0.07495
   80, 311.126, 0.04135
   81, 309.781, 0.01216
   82, 307.865, -0.00551
   83, 305.369, -0.01175
   84, 302.277, -0.01261
   85, 298.516, -0.01413
   86, 293.998, -0.01812
   87, 288.700, -0.02288
   88, 282.702, -0.02637
   89, 276.164, -0.02826
   90, 269.267, -0.02938
   91, 262.168, -0.03008
   92, 254.990, -0.03022
   93, 247.827, -0.02969
   94, 240.745, -0.02879
   95, 233.790, -0.02807
   96, 226.970, -0.02773
   97, 220.265, -0.02756
   98, 213.640, -0.02750
   99, 207.082, -0.02742
  100, 200.610, -0.02742
  101, 194.249, -0.02742
  102, 187.996, -0.02731
  103, 181.787, -0.02709
  104, 175.533, -0.02673
  105, 169.147, -0.02661
  106, 162.579, -0.02688
  107, 155.829, -0.02747
  108, 148.925, -0.02819
  109, 141.910, -0.02874
  110, 134.811, -0.02933
  111, 127.639, -0.03015
  112, 120.410, -0.03113
  113, 113.169, -0.03186
  114, 106.003, -0.03169
  115, 98.978, -0.03065
  116, 92.090, -0.02934
  117, 85.228, -0.02874
  118, 78.222, -0.02949
  119, 70.932, -0.03122
  120, 63.313, -0.03311
  121, 55.394, -0.03444
  122, 47.205, -0.03522
  123, 38.712, -0.03592
  124, 29.857, -0.03685
  125, 20.648, -0.03785
  126, 11.226, -0.03849
  127, 1.799, -0.03865
  128, -7.479, -0.03852
  129, -16.585, -0.03832
  130, -25.566, -0.03788
  131, -34.426, -0.03693
  132, -43.074, -0.03549
  133, -51.382, -0.03393
  134, -59.266, -0.03257
  135, -66.711, -0.03133
  136, -73.737, -0.02996
  137, -80.392, -0.02842
  138, -86.766, -0.02714
  139, -93.019, -0.02654
  140, -99.326, -0.02666
  141, -105.788, -0.02713
  142, -112.395, -0.02753
  143, -119.069, -0.02776
  144, -125.742, -0.02787
  145, -132.380, -0.02784
  146, -138.961, -0.02772
  147, -145.438, -0.02744
  148, -151.773, -0.02721
