PowerSpy - ALCIOM - Exported raw data file

Current : 10/01/24 15:30:30,450

Sample #,Voltage (V),Current(A)
    0, 9.983, 0.04001
    1, 19.044, 0.03753
    2, 27.938, 0.03547
    3, 36.661, 0.03484
    4, 45.133, 0.03535
    5, 53.233, 0.03552
    6, 60.900, 0.03409
    7, 68.152, 0.03111
    8, 75.053, 0.02806
    9, 81.661, 0.02663
   10, 88.052, 0.02702
   11, 94.339, 0.02799
   12, 100.647, 0.02824
   13, 107.053, 0.02767
   14, 113.540, 0.02722
   15, 120.041, 0.02752
   16, 126.499, 0.02787
   17, 132.900, 0.02736
   18, 139.246, 0.02610
   19, 145.546, 0.02532
   20, 151.809, 0.02592
   21, 158.066, 0.02724
   22, 164.353, 0.02772
   23, 170.678, 0.02683
   24, 177.026, 0.02574
   25, 183.377, 0.02599
   26, 189.722, 0.02755
   27, 196.065, 0.02881
   28, 202.390, 0.02837
   29, 208.671, 0.02672
   30, 214.892, 0.02561
   31, 221.061, 0.02597
   32, 227.212, 0.02699
   33, 233.377, 0.02725
   34, 239.577, 0.02651
   35, 245.800, 0.02586
   36, 252.009, 0.02606
   37, 258.144, 0.02657
   38, 264.170, 0.02644
   39, 270.091, 0.02541
   40, 275.935, 0.02438
   41, 281.690, 0.02383
   42, 287.235, 0.02321
   43, 292.354, 0.02139
   44, 296.800, 0.01809
   45, 300.404, 0.01422
   46, 303.140, 0.01112
   47, 305.132, 0.00919
   48, 306.613, 0.00791
   49, 307.840, 0.00668
   50, 309.020, 0.00547
   51, 310.250, 0.00483
   52, 311.521, 0.00498
   53, 312.769, 0.00567
   54, 313.934, 0.00602
   55, 314.991, 0.00538
   56, 315.944, 0.00388
   57, 316.788, 0.00241
   58, 317.502, 0.00173
   59, 318.044, 0.00172
   60, 318.368, 0.00153
   61, 318.457, 0.00058
   62, 318.334, -0.00071
   63, 318.055, -0.00127
   64, 317.692, -0.00061
   65, 317.301, 0.00053
   66, 316.911, 0.00067
   67, 316.524, -0.00054
   68, 316.126, -0.00088
   69, 315.706, 0.00449
   70, 315.258, 0.02030
   71, 314.790, 0.04779
   72, 314.315, 0.08283
   73, 313.833, 0.11759
   74, 313.329, 0.14392
   75, 312.789, 0.15638
   76, 312.228, 0.15246
   77, 311.666, 0.13221
   78, 311.078, 0.09882
   79, 310.360, 0.05950
   80, 309.351, 0.02407
   81, 307.904, 0.00028
   82, 305.918, -0.01049
   83, 303.325, -0.01302
   84, 300.058, -0.01378
   85, 296.058, -0.01648
   86, 291.317, -0.02078
   87, 285.905, -0.02483
   88, 279.935, -0.02752
   89, 273.513, -0.02905
   90, 266.731, -0.02994
   91, 259.698, -0.03023
   92, 252.560, -0.02993
   93, 245.460, -0.02927
   94, 238.480, -0.02850
   95, 231.626, -0.02789
   96, 224.858, -0.02752
   97, 218.150, -0.02744
   98, 211.510, -0.02757
   99, 204.967, -0.02753
  100, 198.545, -0.02712
  101, 192.239, -0.02652
  102, 186.018, -0.02630
  103, 179.825, -0.02686
  104, 173.583, -0.02786
  105, 167.208, -0.02875
  106, 160.639, -0.02913
  107, 153.863, -0.02916
  108, 146.912, -0.02945
  109, 139.832, -0.03009
  110, 132.648, -0.03086
  111, 125.364, -0.03125
  112, 117.996, -0.03105
  113, 110.614, -0.03056
  114, 103.331, -0.03004
  115, 96.232, -0.02970
  116, 89.320, -0.02952
  117, 82.479, -0.02952
  118, 75.531, -0.02990
  119, 68.320, -0.03067
  120, 60.788, -0.03171
  121, 52.959, -0.03280
  122, 44.868, -0.03396
  123, 36.486, -0.03545
  124, 27.739, -0.03739
  125, 18.615, -0.03937
  126, 9.230, -0.04062
  127, -0.209, -0.04061
  128, -9.531, -0.03951
  129, -18.675, -0.03808
  130, -27.647, -0.03696
  131, -36.425, -0.03627
  132, -44.932, -0.03562
  133, -53.083, -0.03466
  134, -60.835, -0.03320
  135, -68.190, -0.03138
  136, -75.156, -0.02952
  137, -81.767, -0.02805
  138, -88.131, -0.02730
  139, -94.424, -0.02731
  140, -100.806, -0.02767
  141, -107.323, -0.02803
  142, -113.907, -0.02815
