PowerSpy - ALCIOM - Exported raw data file

Current : 10/01/24 15:32:36,925

Sample #,Voltage (V),Current(A)
    0, 7.847, 0.03820
    1, 16.932, 0.03884
    2, 25.773, 0.03930
    3, 34.407, 0.03842
    4, 42.840, 0.03617
    5, 51.021, 0.03388
    6, 58.883, 0.03280
    7, 66.384, 0.03262
    8, 73.521, 0.03182
    9, 80.328, 0.02960
   10, 86.885, 0.02706
   11, 93.325, 0.02620
   12, 99.785, 0.02770
   13, 106.325, 0.02986
   14, 112.917, 0.03047
   15, 119.493, 0.02912
   16, 126.023, 0.02749
   17, 132.528, 0.02745
   18, 139.024, 0.02878
   19, 145.492, 0.02967
   20, 151.889, 0.02892
   21, 158.204, 0.02740
   22, 164.469, 0.02682
   23, 170.710, 0.02764
   24, 176.906, 0.02848
   25, 183.027, 0.02794
   26, 189.086, 0.02635
   27, 195.157, 0.02545
   28, 201.312, 0.02621
   29, 207.548, 0.02760
   30, 213.796, 0.02794
   31, 220.004, 0.02684
   32, 226.199, 0.02585
   33, 232.467, 0.02633
   34, 238.863, 0.02788
   35, 245.333, 0.02868
   36, 251.755, 0.02778
   37, 258.031, 0.02616
   38, 264.155, 0.02550
   39, 270.197, 0.02617
   40, 276.189, 0.02699
   41, 282.048, 0.02642
   42, 287.569, 0.02419
   43, 292.518, 0.02119
   44, 296.735, 0.01834
   45, 300.176, 0.01585
   46, 302.899, 0.01350
   47, 305.010, 0.01120
   48, 306.650, 0.00929
   49, 307.994, 0.00798
   50, 309.218, 0.00729
   51, 310.441, 0.00714
   52, 311.676, 0.00732
   53, 312.863, 0.00755
   54, 313.947, 0.00747
   55, 314.915, 0.00674
   56, 315.791, 0.00532
   57, 316.576, 0.00358
   58, 317.251, 0.00210
   59, 317.802, 0.00137
   60, 318.241, 0.00130
   61, 318.579, 0.00147
   62, 318.792, 0.00133
   63, 318.836, 0.00101
   64, 318.687, 0.00082
   65, 318.390, 0.00070
   66, 318.022, 0.00001
   67, 317.649, -0.00088
   68, 317.284, 0.00119
   69, 316.905, 0.01188
   70, 316.491, 0.03571
   71, 316.041, 0.07210
   72, 315.573, 0.11419
   73, 315.099, 0.15226
   74, 314.614, 0.17838
   75, 314.111, 0.18839
   76, 313.587, 0.18103
   77, 313.058, 0.15704
   78, 312.522, 0.11978
   79, 311.929, 0.07652
   80, 311.160, 0.03690
   81, 310.034, 0.00856
   82, 308.350, -0.00658
   83, 305.919, -0.01260
   84, 302.600, -0.01541
   85, 298.342, -0.01859
   86, 293.196, -0.02246
   87, 287.316, -0.02571
   88, 280.903, -0.02766
   89, 274.149, -0.02875
   90, 267.201, -0.02958
   91, 260.157, -0.03028
   92, 253.084, -0.03046
   93, 246.038, -0.02996
   94, 239.061, -0.02911
   95, 232.187, -0.02829
   96, 225.432, -0.02776
   97, 218.796, -0.02742
   98, 212.272, -0.02708
   99, 205.858, -0.02666
  100, 199.559, -0.02613
  101, 193.373, -0.02570
  102, 187.265, -0.02563
  103, 181.161, -0.02603
  104, 174.959, -0.02687
  105, 168.584, -0.02777
  106, 162.015, -0.02841
  107, 155.287, -0.02884
  108, 148.458, -0.02921
  109, 141.557, -0.02991
  110, 134.567, -0.03088
  111, 127.456, -0.03167
  112, 120.223, -0.03187
  113, 112.937, -0.03116
  114, 105.705, -0.02998
  115, 98.624, -0.02897
  116, 91.701, -0.02863
  117, 84.846, -0.02908
  118, 77.897, -0.03007
  119, 70.707, -0.03141
  120, 63.201, -0.03297
  121, 55.393, -0.03450
  122, 47.320, -0.03569
  123, 38.979, -0.03641
  124, 30.313, -0.03698
  125, 21.300, -0.03781
  126, 12.020, -0.03888
  127, 2.657, -0.03966
  128, -6.617, -0.03958
  129, -15.715, -0.03870
  130, -24.632, -0.03755
  131, -33.365, -0.03652
  132, -41.867, -0.03552
  133, -50.079, -0.03424
  134, -57.972, -0.03265
  135, -65.544, -0.03113
  136, -72.785, -0.02998
  137, -79.690, -0.02924
  138, -86.308, -0.02866
  139, -92.768, -0.02810
  140, -99.226, -0.02776
  141, -105.774, -0.02781
  142, -112.396, -0.02815
  143, -119.026, -0.02836
  144, -125.616, -0.02802
  145, -132.160, -0.02729
  146, -138.656, -0.02651
  147, -145.087, -0.02629
  148, -151.437, -0.02665
  149, -157.728, -0.02712
  150, -164.006, -0.02724
  151, -170.292, -0.02674
  152, -176.551, -0.02611
  153, -182.740, -0.02598
  154, -188.867, -0.02651
  155, -195.003, -0.02734
  156, -201.213, -0.02768
  157, -207.486, -0.02726
  158, -213.743, -0.02654
  159, -219.927, -0.02614
  160, -226.073, -0.02649
  161, -232.294, -0.02731
  162, -238.678, -0.02793
  163, -245.183, -0.02804
  164, -251.657, -0.02769
  165, -257.944, -0.02721
  166, -263.996, -0.02683
  167, -269.897, -0.02657
  168, -275.762, -0.02618
  169, -281.585, -0.02525
  170, -287.176, -0.02347
  171, -292.246, -0.02076
  172, -296.563, -0.01738
  173, -300.057, -0.01402
  174, -302.811, -0.01121
  175, -304.973, -0.00918
  176, -306.692, -0.00791
  177, -308.122, -0.00714
  178, -309.419, -0.00672
  179, -310.705, -0.00652
  180, -312.016, -0.00640
  181, -313.304, -0.00616
  182, -314.486, -0.00553
  183, -315.510, -0.00463
  184, -316.374, -0.00382
  185, -317.094, -0.00359
  186, -317.687, -0.00398
  187, -318.162, -0.00420
  188, -318.524, -0.00356
  189, -318.776, -0.00228
  190, -318.917, -0.00117
  191, -318.931, -0.00079
  192, -318.807, -0.00061
  193, -318.546, 0.00024
  194, -318.177, 0.00149
  195, -317.754, 0.00130
  196, -317.331, -0.00285
  197, -316.926, -0.01311
